time,total load forecast,total load actual
2015-01-03 10:00:00+01:00,26431,26454.0
2015-01-03 11:00:00+01:00,27260,26959.0
2015-01-03 12:00:00+01:00,27165,26716.0
2015-01-03 13:00:00+01:00,27449,26802.0
2015-01-03 14:00:00+01:00,27154,26416.0
2015-01-03 15:00:00+01:00,26011,25362.0
2015-01-03 16:00:00+01:00,25162,24770.0
2015-01-03 17:00:00+01:00,24691,24501.0
2015-01-03 18:00:00+01:00,25293,24992.0
2015-01-03 19:00:00+01:00,28421,27964.0
2015-01-03 20:00:00+01:00,30293,29694.0
2015-01-03 21:00:00+01:00,30828,29874.0
2015-01-03 22:00:00+01:00,29896,28979.0
2015-01-03 23:00:00+01:00,27700,26863.0
2015-01-04 00:00:00+01:00,25481,25254.0
2015-01-04 01:00:00+01:00,23734,23620.0
2015-01-04 02:00:00+01:00,22658,22606.0
2015-01-04 03:00:00+01:00,22130,22191.0
2015-01-04 04:00:00+01:00,21879,21929.0
2015-01-04 05:00:00+01:00,22230,22195.0
2015-01-04 06:00:00+01:00,23903,24035.0
2015-01-04 07:00:00+01:00,26742,26807.0
2015-01-04 08:00:00+01:00,28481,28316.0
2015-01-04 09:00:00+01:00,29705,29871.0
2015-01-04 10:00:00+01:00,30656,30585.0
2015-01-04 11:00:00+01:00,30717,30772.0
2015-01-04 12:00:00+01:00,30616,30685.0
2015-01-04 13:00:00+01:00,30287,30429.0
2015-01-04 14:00:00+01:00,29451,28741.0
2015-01-04 15:00:00+01:00,28730,28249.0
2015-01-04 16:00:00+01:00,28393,28105.0
2015-01-04 17:00:00+01:00,28062,27908.0
2015-01-04 18:00:00+01:00,27317,27577.0
2015-01-04 19:00:00+01:00,27189,27418.0
2015-01-04 20:00:00+01:00,28914,28604.0
2015-01-04 21:00:00+01:00,30333,30346.0
2015-01-04 22:00:00+01:00,28341,28190.0
2015-01-04 23:00:00+01:00,26412,26270.0
2015-01-05 00:00:00+01:00,25149,25069.0
2015-01-05 01:00:00+01:00,23630,23390.0
2015-01-05 02:00:00+01:00,22590,21988.0
2015-01-05 03:00:00+01:00,21912,21182.0
2015-01-05 04:00:00+01:00,21369,20778.0
2015-01-05 05:00:00+01:00,20723,20309.0
2015-01-05 06:00:00+01:00,20498,20252.0
2015-01-05 07:00:00+01:00,19736,19964.0
2015-01-05 08:00:00+01:00,19970,20796.0
2015-01-05 09:00:00+01:00,21590,22478.0
2015-01-05 10:00:00+01:00,22987,23834.0
2015-01-05 11:00:00+01:00,23271,24429.0
2015-01-05 12:00:00+01:00,23209,
2015-01-05 13:00:00+01:00,23725,
2015-01-05 14:00:00+01:00,23614,
2015-01-05 15:00:00+01:00,22381,
2015-01-05 16:00:00+01:00,21371,
2015-01-05 17:00:00+01:00,20760,
2015-01-05 18:00:00+01:00,20654,21888.0
2015-01-05 19:00:00+01:00,20904,22048.0
2015-01-05 20:00:00+01:00,22334,22858.0
2015-01-05 21:00:00+01:00,25504,25604.0
2015-01-05 22:00:00+01:00,25938,25381.0
2015-01-05 23:00:00+01:00,23892,23822.0
2015-01-06 00:00:00+01:00,24086,23711.0
2015-01-06 01:00:00+01:00,22554,22354.0
2015-01-06 02:00:00+01:00,21566,21546.0
2015-01-06 03:00:00+01:00,21211,21171.0
2015-01-06 04:00:00+01:00,21074,21042.0
2015-01-06 05:00:00+01:00,21579,21618.0
2015-01-06 06:00:00+01:00,23250,23433.0
2015-01-06 07:00:00+01:00,25560,25885.0
2015-01-06 08:00:00+01:00,27900,28456.0
2015-01-06 09:00:00+01:00,29463,29708.0
2015-01-06 10:00:00+01:00,30133,30887.0
2015-01-06 11:00:00+01:00,30558,31409.0
2015-01-06 12:00:00+01:00,31035,31947.0
2015-01-06 13:00:00+01:00,31154,32078.0
2015-01-06 14:00:00+01:00,30381,31193.0
2015-01-06 15:00:00+01:00,29581,30542.0
2015-01-06 16:00:00+01:00,29085,30591.0
2015-01-06 17:00:00+01:00,29155,30799.0
2015-01-06 18:00:00+01:00,28943,30481.0
2015-01-06 19:00:00+01:00,29013,30147.0
2015-01-06 20:00:00+01:00,29307,30120.0
2015-01-06 21:00:00+01:00,29896,30747.0
2015-01-06 22:00:00+01:00,29310,29978.0
2015-01-06 23:00:00+01:00,26817,27421.0
2015-01-07 00:00:00+01:00,30239,30518.0
2015-01-07 01:00:00+01:00,28031,28484.0
2015-01-07 02:00:00+01:00,26635,27026.0
2015-01-07 03:00:00+01:00,26076,26248.0
2015-01-07 04:00:00+01:00,25734,25838.0
2015-01-07 05:00:00+01:00,25889,26021.0
2015-01-07 06:00:00+01:00,27135,26992.0
2015-01-07 07:00:00+01:00,29269,28625.0
2015-01-07 08:00:00+01:00,31596,31015.0
2015-01-07 09:00:00+01:00,33540,33276.0
2015-01-07 10:00:00+01:00,34919,34221.0
2015-01-07 11:00:00+01:00,35376,34796.0
2015-01-07 12:00:00+01:00,36279,35535.0
2015-01-07 13:00:00+01:00,36886,35752.0
2015-01-07 14:00:00+01:00,36199,35605.0
2015-01-07 15:00:00+01:00,35918,36020.0
2015-01-07 16:00:00+01:00,36366,36066.0
2015-01-07 17:00:00+01:00,36676,36195.0
2015-01-07 18:00:00+01:00,36275,35739.0
2015-01-07 19:00:00+01:00,35664,35188.0
2015-01-07 20:00:00+01:00,34828,34470.0
2015-01-07 21:00:00+01:00,34241,33716.0
2015-01-07 22:00:00+01:00,33972,32697.0
2015-01-07 23:00:00+01:00,32057,30477.0
2015-01-08 00:00:00+01:00,27766,26788.0
2015-01-08 01:00:00+01:00,26176,25146.0
2015-01-08 02:00:00+01:00,24974,23889.0
2015-01-08 03:00:00+01:00,24173,23046.0
2015-01-08 04:00:00+01:00,23779,22587.0
2015-01-08 05:00:00+01:00,23503,22361.0
2015-01-08 06:00:00+01:00,23493,22551.0
2015-01-08 07:00:00+01:00,23562,22543.0
2015-01-08 08:00:00+01:00,24929,24042.0
2015-01-08 09:00:00+01:00,27227,25932.0
2015-01-08 10:00:00+01:00,29193,27664.0
2015-01-08 11:00:00+01:00,29950,28448.0
2015-01-08 12:00:00+01:00,30333,28881.0
2015-01-08 13:00:00+01:00,30711,29329.0
2015-01-08 14:00:00+01:00,30055,29026.0
2015-01-08 15:00:00+01:00,29123,28237.0
2015-01-08 16:00:00+01:00,28632,27868.0
2015-01-08 17:00:00+01:00,28356,27654.0
2015-01-08 18:00:00+01:00,28124,27507.0
2015-01-08 19:00:00+01:00,27922,27544.0
2015-01-08 20:00:00+01:00,27925,27578.0
2015-01-08 21:00:00+01:00,28578,28222.0
2015-01-08 22:00:00+01:00,28862,28221.0
2015-01-08 23:00:00+01:00,27334,26436.0
2015-01-09 00:00:00+01:00,27430,27485.0
2015-01-09 01:00:00+01:00,25783,25750.0
2015-01-09 02:00:00+01:00,24718,24760.0
2015-01-09 03:00:00+01:00,24185,24188.0
2015-01-09 04:00:00+01:00,23980,23840.0
2015-01-09 05:00:00+01:00,24139,24030.0
2015-01-09 06:00:00+01:00,25737,25965.0
2015-01-09 07:00:00+01:00,27995,28266.0
2015-01-09 08:00:00+01:00,29747,29981.0
2015-01-09 09:00:00+01:00,31824,31932.0
2015-01-09 10:00:00+01:00,33063,33325.0
2015-01-09 11:00:00+01:00,33748,34144.0
2015-01-09 12:00:00+01:00,34392,35040.0
2015-01-09 13:00:00+01:00,34891,35524.0
2015-01-09 14:00:00+01:00,33853,34579.0
2015-01-09 15:00:00+01:00,32981,33792.0
2015-01-09 16:00:00+01:00,32846,33768.0
2015-01-09 17:00:00+01:00,32833,33696.0
2015-01-09 18:00:00+01:00,32283,33154.0
2015-01-09 19:00:00+01:00,31942,32440.0
2015-01-09 20:00:00+01:00,32045,32384.0
2015-01-09 21:00:00+01:00,33356,33976.0
2015-01-09 22:00:00+01:00,31269,31420.0
2015-01-09 23:00:00+01:00,28845,28825.0
2015-01-10 00:00:00+01:00,24575,24899.0
2015-01-10 01:00:00+01:00,23348,23505.0
2015-01-10 02:00:00+01:00,22480,22589.0
2015-01-10 03:00:00+01:00,22330,22177.0
2015-01-10 04:00:00+01:00,22165,22025.0
2015-01-10 05:00:00+01:00,22491,22426.0
2015-01-10 06:00:00+01:00,24284,24361.0
2015-01-10 07:00:00+01:00,27772,27890.0
2015-01-10 08:00:00+01:00,29263,29335.0
2015-01-10 09:00:00+01:00,29664,29951.0
2015-01-10 10:00:00+01:00,30369,30452.0
2015-01-10 11:00:00+01:00,30650,30856.0
2015-01-10 12:00:00+01:00,30964,31449.0
2015-01-10 13:00:00+01:00,30930,31218.0
2015-01-10 14:00:00+01:00,29821,30458.0
2015-01-10 15:00:00+01:00,29284,29836.0
2015-01-10 16:00:00+01:00,29705,29781.0
2015-01-10 17:00:00+01:00,29953,29929.0
2015-01-10 18:00:00+01:00,29914,29638.0
2015-01-10 19:00:00+01:00,29920,29950.0
2015-01-10 20:00:00+01:00,32363,32244.0
2015-01-10 21:00:00+01:00,31869,31900.0
2015-01-10 22:00:00+01:00,28549,28690.0
2015-01-10 23:00:00+01:00,26142,26219.0
2015-01-11 00:00:00+01:00,22654,22460.0
2015-01-11 01:00:00+01:00,21215,21033.0
2015-01-11 02:00:00+01:00,20177,19977.0
2015-01-11 03:00:00+01:00,19623,19389.0
2015-01-11 04:00:00+01:00,19453,19126.0
2015-01-11 05:00:00+01:00,19430,19199.0
2015-01-11 06:00:00+01:00,19825,19404.0
2015-01-11 07:00:00+01:00,20080,19500.0
2015-01-11 08:00:00+01:00,20529,20182.0
2015-01-11 09:00:00+01:00,22303,22121.0
2015-01-11 10:00:00+01:00,23863,23589.0
2015-01-11 11:00:00+01:00,24372,24238.0
2015-01-11 12:00:00+01:00,24563,24271.0
2015-01-11 13:00:00+01:00,24976,24713.0
2015-01-11 14:00:00+01:00,24827,24477.0
2015-01-11 15:00:00+01:00,23696,23377.0
2015-01-11 16:00:00+01:00,23021,23037.0
2015-01-11 17:00:00+01:00,23123,23049.0
2015-01-11 18:00:00+01:00,25036,25259.0
2015-01-11 19:00:00+01:00,26555,26520.0
2015-01-11 20:00:00+01:00,26981,27123.0
2015-01-11 21:00:00+01:00,27054,27025.0
2015-01-11 22:00:00+01:00,25990,25889.0
2015-01-11 23:00:00+01:00,23997,23940.0
2015-01-12 00:00:00+01:00,27051,27085.0
2015-01-12 01:00:00+01:00,25157,25272.0
2015-01-12 02:00:00+01:00,24059,24121.0
2015-01-12 03:00:00+01:00,23630,23626.0
2015-01-12 04:00:00+01:00,23522,23572.0
2015-01-12 05:00:00+01:00,24139,24070.0
2015-01-12 06:00:00+01:00,26643,26787.0
2015-01-12 07:00:00+01:00,31303,31511.0
2015-01-12 08:00:00+01:00,34166,34046.0
2015-01-12 09:00:00+01:00,34902,34876.0
2015-01-12 10:00:00+01:00,35302,35093.0
2015-01-12 11:00:00+01:00,34926,34588.0
2015-01-12 12:00:00+01:00,34461,34347.0
2015-01-12 13:00:00+01:00,34077,34146.0
2015-01-12 14:00:00+01:00,32951,32884.0
2015-01-12 15:00:00+01:00,32532,32422.0
2015-01-12 16:00:00+01:00,32380,32502.0
2015-01-12 17:00:00+01:00,33392,33509.0
2015-01-12 18:00:00+01:00,36018,35896.0
2015-01-12 19:00:00+01:00,36757,36615.0
2015-01-12 20:00:00+01:00,36901,36704.0
2015-01-12 21:00:00+01:00,35903,35823.0
2015-01-12 22:00:00+01:00,32853,32932.0
2015-01-12 23:00:00+01:00,29696,29695.0
2015-01-13 00:00:00+01:00,28161,28033.0
2015-01-13 01:00:00+01:00,25814,25750.0
2015-01-13 02:00:00+01:00,24609,24517.0
2015-01-13 03:00:00+01:00,24062,23911.0
2015-01-13 04:00:00+01:00,23903,23876.0
2015-01-13 05:00:00+01:00,24462,24445.0
2015-01-13 06:00:00+01:00,27029,27027.0
2015-01-13 07:00:00+01:00,31669,31924.0
2015-01-13 08:00:00+01:00,35277,35351.0
2015-01-13 09:00:00+01:00,36330,36288.0
2015-01-13 10:00:00+01:00,36982,36612.0
2015-01-13 11:00:00+01:00,36787,36296.0
2015-01-13 12:00:00+01:00,36279,35645.0
2015-01-13 13:00:00+01:00,35781,35172.0
2015-01-13 14:00:00+01:00,34485,33895.0
2015-01-13 15:00:00+01:00,33826,33283.0
2015-01-13 16:00:00+01:00,33745,33030.0
2015-01-13 17:00:00+01:00,34067,33542.0
2015-01-13 18:00:00+01:00,36388,35944.0
2015-01-13 19:00:00+01:00,37797,37553.0
2015-01-13 20:00:00+01:00,37691,37604.0
2015-01-13 21:00:00+01:00,36952,36831.0
2015-01-13 22:00:00+01:00,34327,33972.0
2015-01-13 23:00:00+01:00,31228,30733.0
2015-01-14 00:00:00+01:00,28401,28057.0
2015-01-14 01:00:00+01:00,25944,25764.0
2015-01-14 02:00:00+01:00,24597,24495.0
2015-01-14 03:00:00+01:00,24158,23887.0
2015-01-14 04:00:00+01:00,24076,23892.0
2015-01-14 05:00:00+01:00,24612,24438.0
2015-01-14 06:00:00+01:00,27154,27040.0
2015-01-14 07:00:00+01:00,32225,31798.0
2015-01-14 08:00:00+01:00,35671,35150.0
2015-01-14 09:00:00+01:00,36366,35953.0
2015-01-14 10:00:00+01:00,36501,36439.0
2015-01-14 11:00:00+01:00,36304,36048.0
2015-01-14 12:00:00+01:00,35821,35561.0
2015-01-14 13:00:00+01:00,35422,35186.0
2015-01-14 14:00:00+01:00,34070,33909.0
2015-01-14 15:00:00+01:00,33419,33322.0
2015-01-14 16:00:00+01:00,33189,33330.0
2015-01-14 17:00:00+01:00,33748,33811.0
2015-01-14 18:00:00+01:00,36210,36114.0
2015-01-14 19:00:00+01:00,38021,37535.0
2015-01-14 20:00:00+01:00,38219,37633.0
2015-01-14 21:00:00+01:00,37223,36809.0
2015-01-14 22:00:00+01:00,34534,33939.0
2015-01-14 23:00:00+01:00,31369,30630.0
2015-01-15 00:00:00+01:00,28158,27865.0
2015-01-15 01:00:00+01:00,25897,25617.0
2015-01-15 02:00:00+01:00,24636,24269.0
2015-01-15 03:00:00+01:00,23966,23940.0
2015-01-15 04:00:00+01:00,23884,23762.0
2015-01-15 05:00:00+01:00,24391,24485.0
2015-01-15 06:00:00+01:00,26919,26919.0
2015-01-15 07:00:00+01:00,31770,31608.0
2015-01-15 08:00:00+01:00,35369,34804.0
2015-01-15 09:00:00+01:00,36242,35815.0
2015-01-15 10:00:00+01:00,36975,36260.0
2015-01-15 11:00:00+01:00,36838,35996.0
2015-01-15 12:00:00+01:00,36431,35539.0
2015-01-15 13:00:00+01:00,36047,35240.0
2015-01-15 14:00:00+01:00,34655,34028.0
2015-01-15 15:00:00+01:00,34111,33573.0
2015-01-15 16:00:00+01:00,34190,33637.0
2015-01-15 17:00:00+01:00,34596,34151.0
2015-01-15 18:00:00+01:00,36820,36202.0
2015-01-15 19:00:00+01:00,38704,37469.0
2015-01-15 20:00:00+01:00,38572,37299.0
2015-01-15 21:00:00+01:00,37657,36325.0
2015-01-15 22:00:00+01:00,34804,33848.0
2015-01-15 23:00:00+01:00,31605,30737.0
2015-01-16 00:00:00+01:00,28330,28342.0
2015-01-16 01:00:00+01:00,26071,26119.0
2015-01-16 02:00:00+01:00,24619,24683.0
2015-01-16 03:00:00+01:00,24127,24147.0
2015-01-16 04:00:00+01:00,23954,24030.0
2015-01-16 05:00:00+01:00,24612,24561.0
2015-01-16 06:00:00+01:00,27024,27025.0
2015-01-16 07:00:00+01:00,31796,31518.0
2015-01-16 08:00:00+01:00,35288,34642.0
2015-01-16 09:00:00+01:00,36377,35662.0
2015-01-16 10:00:00+01:00,36967,36343.0
2015-01-16 11:00:00+01:00,36823,36335.0
2015-01-16 12:00:00+01:00,36450,35955.0
2015-01-16 13:00:00+01:00,36098,35583.0
2015-01-16 14:00:00+01:00,34828,34322.0
2015-01-16 15:00:00+01:00,34019,33777.0
2015-01-16 16:00:00+01:00,33853,33460.0
2015-01-16 17:00:00+01:00,34258,33784.0
2015-01-16 18:00:00+01:00,36326,35633.0
2015-01-16 19:00:00+01:00,37410,36821.0
2015-01-16 20:00:00+01:00,37004,36669.0
2015-01-16 21:00:00+01:00,36315,36015.0
2015-01-16 22:00:00+01:00,34030,33847.0
2015-01-16 23:00:00+01:00,31310,31243.0
2015-01-17 00:00:00+01:00,29129,28889.0
2015-01-17 01:00:00+01:00,26616,26782.0
2015-01-17 02:00:00+01:00,24814,25083.0
2015-01-17 03:00:00+01:00,23925,24086.0
2015-01-17 04:00:00+01:00,23574,23651.0
2015-01-17 05:00:00+01:00,23512,23539.0
2015-01-17 06:00:00+01:00,24045,24025.0
2015-01-17 07:00:00+01:00,25660,25467.0
2015-01-17 08:00:00+01:00,27391,27120.0
2015-01-17 09:00:00+01:00,30302,29980.0
2015-01-17 10:00:00+01:00,32302,32225.0
2015-01-17 11:00:00+01:00,32532,32480.0
2015-01-17 12:00:00+01:00,31904,31863.0
2015-01-17 13:00:00+01:00,31786,31659.0
2015-01-17 14:00:00+01:00,31219,30894.0
2015-01-17 15:00:00+01:00,29977,29725.0
2015-01-17 16:00:00+01:00,29407,29039.0
2015-01-17 17:00:00+01:00,29815,29191.0
2015-01-17 18:00:00+01:00,32270,31620.0
2015-01-17 19:00:00+01:00,33840,33274.0
2015-01-17 20:00:00+01:00,34565,33865.0
2015-01-17 21:00:00+01:00,34255,33741.0
2015-01-17 22:00:00+01:00,32574,32324.0
2015-01-17 23:00:00+01:00,30278,30056.0
2015-01-18 00:00:00+01:00,27766,27371.0
2015-01-18 01:00:00+01:00,25570,25227.0
2015-01-18 02:00:00+01:00,23730,23430.0
2015-01-18 03:00:00+01:00,22613,22446.0
2015-01-18 04:00:00+01:00,22167,21973.0
2015-01-18 05:00:00+01:00,22147,21986.0
2015-01-18 06:00:00+01:00,22534,22350.0
2015-01-18 07:00:00+01:00,23616,23099.0
2015-01-18 08:00:00+01:00,24469,23805.0
2015-01-18 09:00:00+01:00,26207,25933.0
2015-01-18 10:00:00+01:00,28561,28482.0
2015-01-18 11:00:00+01:00,29673,29913.0
2015-01-18 12:00:00+01:00,29685,30285.0
2015-01-18 13:00:00+01:00,30046,30892.0
2015-01-18 14:00:00+01:00,29932,30854.0
2015-01-18 15:00:00+01:00,28724,29506.0
2015-01-18 16:00:00+01:00,28234,28894.0
2015-01-18 17:00:00+01:00,28603,28926.0
2015-01-18 18:00:00+01:00,30986,31281.0
2015-01-18 19:00:00+01:00,33027,32810.0
2015-01-18 20:00:00+01:00,34451,33710.0
2015-01-18 21:00:00+01:00,34616,33891.0
2015-01-18 22:00:00+01:00,33252,32608.0
2015-01-18 23:00:00+01:00,30662,29850.0
2015-01-19 00:00:00+01:00,27198,26865.0
2015-01-19 01:00:00+01:00,25056,24650.0
2015-01-19 02:00:00+01:00,23524,23305.0
2015-01-19 03:00:00+01:00,22934,22776.0
2015-01-19 04:00:00+01:00,22868,22671.0
2015-01-19 05:00:00+01:00,23614,23397.0
2015-01-19 06:00:00+01:00,26433,26513.0
2015-01-19 07:00:00+01:00,30976,31460.0
2015-01-19 08:00:00+01:00,34738,35444.0
2015-01-19 09:00:00+01:00,36761,36987.0
2015-01-19 10:00:00+01:00,38192,38207.0
2015-01-19 11:00:00+01:00,38437,38341.0
2015-01-19 12:00:00+01:00,38273,38052.0
2015-01-19 13:00:00+01:00,38089,37891.0
2015-01-19 14:00:00+01:00,36853,36560.0
2015-01-19 15:00:00+01:00,36221,36103.0
2015-01-19 16:00:00+01:00,36000,35867.0
2015-01-19 17:00:00+01:00,36217,36229.0
2015-01-19 18:00:00+01:00,37842,37941.0
2015-01-19 19:00:00+01:00,38642,39304.0
2015-01-19 20:00:00+01:00,38758,39262.0
2015-01-19 21:00:00+01:00,38265,38082.0
2015-01-19 22:00:00+01:00,36008,35179.0
2015-01-19 23:00:00+01:00,32396,31618.0
2015-01-20 00:00:00+01:00,29044,29025.0
2015-01-20 01:00:00+01:00,26742,26475.0
2015-01-20 02:00:00+01:00,25491,25087.0
2015-01-20 03:00:00+01:00,24909,24620.0
2015-01-20 04:00:00+01:00,24671,24505.0
2015-01-20 05:00:00+01:00,25240,25188.0
2015-01-20 06:00:00+01:00,27744,27866.0
2015-01-20 07:00:00+01:00,32474,32945.0
2015-01-20 08:00:00+01:00,36453,36474.0
2015-01-20 09:00:00+01:00,37782,37711.0
2015-01-20 10:00:00+01:00,38886,38505.0
2015-01-20 11:00:00+01:00,38890,38499.0
2015-01-20 12:00:00+01:00,38311,38172.0
2015-01-20 13:00:00+01:00,38013,38132.0
2015-01-20 14:00:00+01:00,36691,36846.0
2015-01-20 15:00:00+01:00,36174,36287.0
2015-01-20 16:00:00+01:00,35857,36333.0
2015-01-20 17:00:00+01:00,36720,36890.0
2015-01-20 18:00:00+01:00,38173,38856.0
2015-01-20 19:00:00+01:00,39838,40232.0
2015-01-20 20:00:00+01:00,40070,40207.0
2015-01-20 21:00:00+01:00,38719,39208.0
2015-01-20 22:00:00+01:00,36152,36258.0
2015-01-20 23:00:00+01:00,32568,32569.0
2015-01-21 00:00:00+01:00,29658,29411.0
2015-01-21 01:00:00+01:00,26975,26868.0
2015-01-21 02:00:00+01:00,25506,25391.0
2015-01-21 03:00:00+01:00,25129,24810.0
2015-01-21 04:00:00+01:00,24999,24694.0
2015-01-21 05:00:00+01:00,25621,25268.0
2015-01-21 06:00:00+01:00,28226,27986.0
2015-01-21 07:00:00+01:00,33409,33028.0
2015-01-21 08:00:00+01:00,36912,36643.0
2015-01-21 09:00:00+01:00,37941,38079.0
2015-01-21 10:00:00+01:00,38630,38761.0
2015-01-21 11:00:00+01:00,38568,38655.0
2015-01-21 12:00:00+01:00,38196,38110.0
2015-01-21 13:00:00+01:00,38101,38036.0
2015-01-21 14:00:00+01:00,36753,36868.0
2015-01-21 15:00:00+01:00,36145,36479.0
2015-01-21 16:00:00+01:00,36188,36441.0
2015-01-21 17:00:00+01:00,36757,37061.0
2015-01-21 18:00:00+01:00,38715,38758.0
2015-01-21 19:00:00+01:00,40054,40081.0
2015-01-21 20:00:00+01:00,40082,40122.0
2015-01-21 21:00:00+01:00,39116,39146.0
2015-01-21 22:00:00+01:00,36282,36267.0
2015-01-21 23:00:00+01:00,32741,32864.0
2015-01-22 00:00:00+01:00,29383,29755.0
2015-01-22 01:00:00+01:00,26989,27137.0
2015-01-22 02:00:00+01:00,25501,25675.0
2015-01-22 03:00:00+01:00,24901,25103.0
2015-01-22 04:00:00+01:00,24676,24952.0
2015-01-22 05:00:00+01:00,25154,25540.0
2015-01-22 06:00:00+01:00,27545,28176.0
2015-01-22 07:00:00+01:00,32334,32969.0
2015-01-22 08:00:00+01:00,35792,36207.0
2015-01-22 09:00:00+01:00,37313,37521.0
2015-01-22 10:00:00+01:00,38330,38344.0
2015-01-22 11:00:00+01:00,38380,38054.0
2015-01-22 12:00:00+01:00,37854,37706.0
2015-01-22 13:00:00+01:00,37778,37513.0
2015-01-22 14:00:00+01:00,36588,36419.0
2015-01-22 15:00:00+01:00,36210,35785.0
2015-01-22 16:00:00+01:00,36098,35761.0
2015-01-22 17:00:00+01:00,36772,36254.0
2015-01-22 18:00:00+01:00,38368,38080.0
2015-01-22 19:00:00+01:00,39791,39702.0
2015-01-22 20:00:00+01:00,39675,39722.0
2015-01-22 21:00:00+01:00,38824,38886.0
2015-01-22 22:00:00+01:00,36282,36062.0
2015-01-22 23:00:00+01:00,32705,32725.0
2015-01-23 00:00:00+01:00,29950,29746.0
2015-01-23 01:00:00+01:00,27328,27253.0
2015-01-23 02:00:00+01:00,25732,25770.0
2015-01-23 03:00:00+01:00,25054,25198.0
2015-01-23 04:00:00+01:00,24906,25081.0
2015-01-23 05:00:00+01:00,25516,25679.0
2015-01-23 06:00:00+01:00,28276,28213.0
2015-01-23 07:00:00+01:00,33236,33070.0
2015-01-23 08:00:00+01:00,36643,36531.0
2015-01-23 09:00:00+01:00,37850,37807.0
2015-01-23 10:00:00+01:00,38603,38312.0
2015-01-23 11:00:00+01:00,38307,37823.0
2015-01-23 12:00:00+01:00,37778,37202.0
2015-01-23 13:00:00+01:00,37455,36773.0
2015-01-23 14:00:00+01:00,36253,35443.0
2015-01-23 15:00:00+01:00,35443,34752.0
2015-01-23 16:00:00+01:00,35235,34582.0
2015-01-23 17:00:00+01:00,35592,34756.0
2015-01-23 18:00:00+01:00,37395,36572.0
2015-01-23 19:00:00+01:00,38874,38329.0
2015-01-23 20:00:00+01:00,38607,38333.0
2015-01-23 21:00:00+01:00,37880,37708.0
2015-01-23 22:00:00+01:00,35418,35332.0
2015-01-23 23:00:00+01:00,32594,32693.0
2015-01-24 00:00:00+01:00,29959,30040.0
2015-01-24 01:00:00+01:00,27361,27485.0
2015-01-24 02:00:00+01:00,25404,25763.0
2015-01-24 03:00:00+01:00,24467,24786.0
2015-01-24 04:00:00+01:00,24076,24358.0
2015-01-24 05:00:00+01:00,24045,24273.0
2015-01-24 06:00:00+01:00,24701,24822.0
