,generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual
generation solar,-0.004686687792013266,0.04044696605012697,,0.07471630173517543,0.04618466582683705,0.1002108245558891,,,,,-0.21464701970755895,0.039601559259985146,0.09183411734006314,,0.004387605410952396,-0.01656180366081675,0.025777901609667333,1.0,0.0010203587730780949,,-0.16690054540842503,0.9932644415637772,,-0.17251539850072756,0.39911709800960027,0.3961892159949317,0.0583917070340311,0.09848771055577117
generation waste,-0.3463432394268307,0.2828098168848178,,0.2750527326620634,0.17023486852070246,-0.1757410038391459,,,,,-0.18810075516954833,-0.2861011672137836,-0.28825917839213966,,0.08662256415486531,-0.36059203505460913,0.6139449830176474,0.0010203587730780949,1.0,,-0.18329609822224674,0.0010489438684436274,,-0.1878805490259158,0.07552335921513809,0.07731200246156757,0.3680356533005468,0.1696052458388355
generation wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation wind onshore,-0.06865804347505791,-0.4341179707764916,,-0.3972980156981425,-0.44185340566265086,-0.05178739106666288,,,,,0.3890536798241269,0.22315703225440112,-0.019231429762675903,,0.04916597199755779,0.04771762373908624,-0.13831200813860686,-0.16690054540842503,-0.18329609822224674,,1.0,-0.16999414426441758,,0.9944591935562195,0.03780927093177733,0.04008004973730632,-0.4248991378642792,-0.22082964565981256
forecast solar day ahead,-0.008713063979976328,0.04230587934453598,,0.0801707547332682,0.0473562667208912,0.09643461581698959,,,,,-0.22210484421639415,0.0450666768241174,0.10307383213975795,,-0.0003336866250195444,-0.019153917536109195,0.0271408356360121,0.9932644415637772,0.0010489438684436274,,-0.16999414426441758,1.0,,-0.17453284121313986,0.40623371139940506,0.40436218410408914,0.062117669927949856,0.10140229558653413
forecast wind offshore eday ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forecast wind onshore day ahead,-0.07236751697757007,-0.4360305243201497,,-0.3973032197646687,-0.4444896717329645,-0.05824404765028291,,,,,0.390453985730477,0.22641582545813413,-0.011545100305441933,,0.04554841469724753,0.04492347808659568,-0.14002312809259865,-0.17251539850072756,-0.1878805490259158,,0.9944591935562195,-0.17453284121313986,,1.0,0.035308049133088486,0.03759710401187068,-0.4288739451102326,-0.2217056044824818
total load forecast,0.08521625314632897,0.27850325594139047,,0.5437112554623563,0.3942906882879576,0.49863702092753853,,,,,-0.5597561532867381,0.12056898130292129,0.4765704926022134,,0.0899813312923951,0.10131168075068371,0.17780043898012804,0.39911709800960027,0.07552335921513809,,0.03780927093177733,0.40623371139940506,,0.035308049133088486,1.0,0.9951389210060558,0.47464868363060664,0.43586408410676025
total load actual,0.08328767641953805,0.2804609408815273,,0.5489130799631927,0.39656354459917126,0.4970885446674045,,,,,-0.5628093900089557,0.11856954847730936,0.4794808171384669,,0.08566394902696102,0.10069046376041678,0.1817137553869755,0.3961892159949317,0.07731200246156757,,0.04008004973730632,0.40436218410408914,,0.03759710401187068,0.9951389210060558,1.0,0.4738689593707083,0.4361272203532511
price day ahead,0.10894500460950524,0.5679054402043376,,0.6408948243227105,0.6715962211827033,0.29279289898881494,,,,,-0.6004598947817944,-0.2947183011378648,-0.01780746923306436,,-0.04418917135664863,0.043599439383701984,0.42807812898719666,0.0583917070340311,0.3680356533005468,,-0.4248991378642792,0.062117669927949856,,-0.4288739451102326,0.47464868363060664,0.4738689593707083,1.0,0.7321554431827819
price actual,0.14236938706717048,0.36408782160462005,,0.4617055744981536,0.46564127557409046,0.2846788176373516,,,,,-0.426417250130713,-0.1371060439568569,0.07154894458817983,,-0.052595633314336525,0.10004841468826624,0.256181059119948,0.09848771055577117,0.1696052458388355,,-0.22082964565981256,0.10140229558653413,,-0.2217056044824818,0.43586408410676025,0.4361272203532511,0.7321554431827819,1.0
